Archivo,Promedio R,Promedio G,Promedio B
processed_berenjena1.jpg,237.9612951321728,243.98195720502903,255.0
processed_berenjena10.jpg,237.3938113072394,241.70363497704403,255.0
processed_berenjena11.jpg,238.27521652231846,243.3491672218521,255.0
processed_berenjena12.jpg,230.4187683552075,236.0069023876288,255.0
processed_berenjena13.jpg,235.04495806731475,234.3370186639379,255.0
processed_berenjena14.jpg,248.37993519740792,249.48384602050749,255.0
processed_berenjena15.jpg,237.6784095139015,239.44537237647103,255.0
processed_berenjena16.jpg,234.9860674307673,234.72890040244334,255.0
processed_berenjena17.jpg,234.77863807822115,239.3309509628747,255.0
processed_berenjena2.jpg,239.78765245304155,243.2110434935257,255.0
processed_berenjena3.jpg,232.66474518037793,235.3933765985875,255.0
processed_berenjena4.jpg,240.89911453975375,242.05269545868313,255.0
processed_berenjena5.jpg,230.36187494627993,235.82614861782383,255.0
processed_berenjena6.jpg,229.80582524271847,236.47957955548424,255.0
processed_berenjena7.jpg,231.7880970005903,234.31370114597877,255.0
processed_berenjena8.jpg,234.1409181788886,233.88997654135756,255.0
processed_berenjena9.jpg,232.65647178384552,241.17196358230515,255.0
processed_camote1.jpg,255.0,143.10445442959687,187.51511048222352
processed_camote10.jpg,255.0,151.35577474697635,186.44847335903506
processed_camote11.jpg,255.0,143.4264576821814,186.8726616268149
processed_camote12.jpg,255.0,143.86840612592172,186.41105632881016
processed_camote13.jpg,255.0,139.16578192201848,179.0702177295765
processed_camote14.jpg,255.0,128.28491191856295,176.62401956270838
processed_camote15.jpg,255.0,146.1855039436633,188.15718381813852
processed_camote16.jpg,255.0,154.14454836910713,188.08359583294077
processed_camote17.jpg,255.0,139.09496637593878,178.68304077296074
processed_camote2.jpg,255.0,142.2883639699214,184.23509154699653
processed_camote3.jpg,255.0,151.94756349284762,187.80571495710177
processed_camote4.jpg,255.0,130.42183493264332,179.6779063156307
processed_camote5.jpg,255.0,136.87997939407936,180.4471129506435
processed_camote6.jpg,255.0,152.79643893272814,188.29532380605443
processed_camote7.jpg,255.0,152.91909906448132,186.57401386282015
processed_camote8.jpg,255.0,154.8866761006156,191.52252708376582
processed_camote9.jpg,255.0,125.47020019047974,173.88241377056528
processed_papa1.jpg,255.0,199.99585957546068,156.40931887100535
processed_papa10.jpg,255.0,200.28137810465398,156.10284112439282
processed_papa11.jpg,255.0,200.28734887901942,158.1509343409335
processed_papa12.jpg,255.0,199.21278982797307,157.61480186911737
processed_papa13.jpg,255.0,201.26379384258743,161.9637271558089
processed_papa14.jpg,255.0,199.50867244706345,156.28505183467718
processed_papa15.jpg,255.0,201.5493476901081,159.74622464480385
processed_papa16.jpg,255.0,198.73952969279264,155.9168249368551
processed_papa17.jpg,255.0,198.50182059586794,156.3015751674747
processed_papa2.jpg,255.0,198.95179731916085,158.75778446631776
processed_papa3.jpg,255.0,197.26178280154528,156.51067391615396
processed_papa4.jpg,255.0,195.8660832232497,157.02691545574638
processed_papa5.jpg,255.0,196.255129668588,155.36570409713116
processed_papa6.jpg,255.0,195.94997322982198,155.31585463793334
processed_papa7.jpg,255.0,197.04088018402004,156.80303260943103
processed_papa8.jpg,255.0,199.28684439051662,156.25245351700508
processed_papa9.jpg,255.0,197.7467970158477,157.48818848035614
processed_zanahoria1.jpg,255.0,168.480007109461,131.6319298730665
processed_zanahoria10.jpg,255.0,158.65438171464797,118.91609024939717
processed_zanahoria11.jpg,255.0,163.02078091757372,124.7405033678505
processed_zanahoria12.jpg,255.0,163.03989769509116,126.33048204634206
processed_zanahoria13.jpg,255.0,159.31095326426276,118.50834728317423
processed_zanahoria14.jpg,255.0,160.35357882901198,119.75538289418712
processed_zanahoria15.jpg,255.0,160.09133136558896,118.60280773637356
processed_zanahoria16.jpg,255.0,162.46998786460574,124.0590355504199
processed_zanahoria17.jpg,255.0,166.15753424657532,131.601773258257
processed_zanahoria2.jpg,255.0,160.3252741774676,120.27853938185444
processed_zanahoria3.jpg,255.0,170.17535591381593,135.27197061988136
processed_zanahoria4.jpg,255.0,166.1236853977924,129.55618076708598
processed_zanahoria5.jpg,255.0,160.02776274450545,118.83522986849597
processed_zanahoria6.jpg,255.0,165.57683263732736,126.98393832316094
processed_zanahoria7.jpg,255.0,166.92370602944217,130.30382221887984
processed_zanahoria8.jpg,255.0,154.9559712316354,113.2635576224465
processed_zanahoria9.jpg,255.0,172.10707098483806,135.70336112395788
